Bank Name,Highest slab,1-year tenure,3-year tenure,5-year tenure
Axis Bank,7.2,6.7,7.1,7
Bandhan Bank,7.85,7.25,7.25,5.85
City Union Bank,7,6.75,6.5,6.25
CSB Bank,7.75,5,5.75,5.75
DBS Bank,7.5,7,6.5,6.5
DCB Bank,8,7.15,7.6,7.4
Dhanlaxmi Bank,7.25,6.75,6.5,6.6
Federal Bank,7.5,6.8,7,6.6
HDFC Bank,7.25,6.6,7,7
ICICI Bank,7.2,6.7,7,7
IDBI Bank,7.25,6.8,6.5,6.5
IDFC First Bank,8,6.5,7.25,7
IndusInd Bank,7.75,7.75,7.25,7.25
Jammu & Kashmir Bank,7.1,7.1,6.5,6.5
Karnataka Bank,7.4,7.1,6.5,6.5
Karur Vysya Bank,7.5,7,7,6.5
Kotak Mahindra Bank,7.4,7.1,7,6.2
Nainital Bank,7.05,6.7,6.25,5.75
RBL Bank,8.1,7.5,7.5,7.1
SBM Bank India,8.25,7.1,7.65,7.05
South Indian Bank,7.4,6.7,6.7,6
Tamilnad Mercantile Bank,7.75,7,6.5,6.5
Yes Bank,7.75,7.25,7.25,7.25
Bank of Baroda,7.25,6.85,7.25,6.5
Bank of India,7.25,6.8,6.5,6
Bank of Maharashtra,6.5,6.5,5.75,5.75
Canara Bank,7.25,6.85,6.8,6.7
Central Bank of India,7.25,6.75,6.5,6.25
Indian Bank,7.25,6.1,6.25,6.25
Indian Overseas Bank,7.3,6.9,6.5,6.5
Punjab & Sind Bank,7.25,6.2,6,6
Punjab National Bank,7.25,6.75,7,6.5
State Bank of India,7.1,6.8,6.75,6.5
UCO Bank,6.5,6.5,6.3,6.2
Union Bank of India,7.25,6.75,6.5,6.5
AU Small Finance Bank,8,6.75,7.5,7.25
Capital Small Finance Bank Limited,7.6,7.5,7.15,7.1
Equitas Small Finance Bank,8.5,8.2,8,7.25
ESAF Small Finance Bank,8.25,6,6.75,6.25
Fincare Small Finance Bank,8,6.75,7.5,7.25
Jana Small Finance Bank,8.5,8.5,7.25,7.25
North East Small Finance Bank,8.5,7,7.75,6.25
Shivalik Small Finance Bank Limited,8.75,8.75,7.5,6.5
Suryoday Small Finance Bank,9.01,6.85,8.6,9.01
Ujjivan Small Finance Bank,8.5,8.25,7.2,7.2
Unity Small Finance Bank,9,7.85,8.15,8.15
Utkarsh Small Finance Bank,8.5,8,8.5,7.5
