Category,1-Week Ret (%),1-Month Ret (%),3-Months Ret (%),6-Months Ret (%),YTD Ret (%),1-Year Ret (%),3-Yrs Ret (%),5-Yrs Ret (%),10-Yrs Ret (%),Since Launch Ret (%)
Equity: Sectoral-Infrastructure,-1.49,7.81,12.12,29.86,14.15,65.17,33.68,23.9,18.56,13.02
Equity: Thematic-Transportation,-1.84,5.74,12.27,24.93,13.24,56.35,27.11,18.48,17.29,29.23
Equity: Thematic-Manufacturing,-1.74,5.67,11.89,26.62,12.45,52.39,24.23,20.04,-,20.65
Equity: Small Cap,-1.04,7.74,3.98,15.76,5.44,49.74,28.56,25.41,21.64,20.59
Equity: Sectoral-Pharma and Healthcare,-2.33,1.73,5.98,21.98,9.19,49.25,15.54,22.39,15.43,17.8
Equity: Mid Cap,-1.75,6.16,6.59,19.7,7.39,49.16,24.44,21.76,19.85,20.59
Equity: Contra,-2.03,4.35,6.7,22.44,7.95,46.4,25.31,20.74,18.06,15.71
Equity: Value,-2.38,3.29,6.05,21.2,6.96,46.02,22.81,18.18,17.89,17.69
Equity: Thematic-Energy,-0.63,8.13,11.72,27.6,11.77,45.69,22.08,22.02,20.15,12.04
Equity: Multi Cap,-2.11,4.65,5.61,18.31,6.51,45.37,23.85,20.61,17.88,21.09
Equity: Dividend Yield,-1.99,3.3,6.36,21.49,7.21,44.22,24.67,19.77,16,19.53
Equity: Thematic-Quantitative,-2.39,2.8,6.45,21.4,6.83,42.33,15.54,18.86,14.35,20.3
Equity: Large and Mid Cap,-2.29,4.17,6.19,18.92,6.62,41.89,21.38,18.41,17.05,15.65
Equity: Thematic-Others,-2.01,4.36,6.86,19.18,7.86,40.93,21.16,19.59,16.46,22.63
Equity: Flexi Cap,-2.46,3.12,5.08,16.94,5.33,37.98,18.79,16.6,15.97,17.77
Equity: ELSS,-2.5,2.98,5.24,17.23,5.28,37.78,19.26,16.71,16.14,16.11
Equity: Focused,-2.59,3.1,5.52,17.11,5.57,36.82,18.39,16.22,15.81,16.2
Equity: Thematic-Consumption,-1.88,3.64,4.26,13.79,4.02,36.26,20.78,17.12,16.54,15.28
Equity: Sectoral-Technology,-3.01,-3.46,-2.15,13.23,1.49,34.81,15.66,22.46,18.1,11.5
Fund of Funds-Domestic-Equity,-2.47,2.65,5.91,17.46,5.88,34.57,16.61,16.21,13.81,13.7
Equity: Large Cap,-2.83,1.68,5.39,16.71,5,33.43,16.72,14.79,14.14,14.72
Equity: Thematic-ESG,-2.54,1.5,3.18,14.37,3.62,32.64,15.9,14.46,14.45,17.89
Hybrid: Aggressive,-1.91,2.2,4.65,13.85,4.96,29.34,16,14.25,13.64,13.4
Hybrid: Multi Asset Allocation,-0.95,3.29,6.35,15.14,6.66,28.98,16.74,16.99,12.79,11.19
Equity: Thematic-MNC,-1.11,3,1.47,8.3,2,27.74,13.89,11.87,14.97,18.41
Childrens Fund,-1.83,2.56,3.12,10.71,2.67,27.4,15.57,12.91,13.19,13.34
Equity: Sectoral-Banking and Financial Services,-3.29,2.59,2.72,11.53,0.98,24.86,16.46,12.06,14.91,14.77
Retirement Fund,-1.37,1.92,3.65,11.13,3.79,24.47,12.44,10.86,11.32,12
Hybrid: Dynamic Asset Allocation,-1.41,1.66,3.82,11.9,4.11,24.37,12.03,11.38,11.21,11.47
